population,minimum_age,maximum_age,gender,zipcode,geo_id
9913,,,,28610,8600000US28610
885,,,,28611,8600000US28611
12397,,,,28612,8600000US28612
22759,,,,28613,8600000US28613
1876,,,,28615,8600000US28615
493,,,,28616,8600000US28616
2261,,,,28617,8600000US28617
2352,,,,28618,8600000US28618
1520,,,,28619,8600000US28619
10472,,,,28621,8600000US28621
2527,,,,28622,8600000US28622
1653,,,,28623,8600000US28623
1639,,,,28624,8600000US28624
36189,,,,28625,8600000US28625
2714,,,,28626,8600000US28626
1152,,,,28627,8600000US28627
479,,,,28628,8600000US28628
75,,,,28629,8600000US28629
20041,,,,28630,8600000US28630
637,,,,28631,8600000US28631
5225,,,,28634,8600000US28634
3901,,,,28635,8600000US28635
5522,,,,28636,8600000US28636
1746,,,,28637,8600000US28637
12302,,,,28638,8600000US28638
4719,,,,28640,8600000US28640
5745,,,,28642,8600000US28642
3521,,,,28643,8600000US28643
1494,,,,28644,8600000US28644
47703,,,,28645,8600000US28645
342,,,,28646,8600000US28646
89,,,,28647,8600000US28647
993,,,,28649,8600000US28649
11883,,,,28650,8600000US28650
7132,,,,28651,8600000US28651
46,,,,28652,8600000US28652
3495,,,,28654,8600000US28654
54996,,,,28655,8600000US28655
9488,,,,28657,8600000US28657
27022,,,,28658,8600000US28658
21134,,,,28659,8600000US28659
2249,,,,28660,8600000US28660
140,,,,28662,8600000US28662
614,,,,28663,8600000US28663
2571,,,,28665,8600000US28665
368,,,,28666,8600000US28666
559,,,,28667,8600000US28667
300,,,,28668,8600000US28668
3146,,,,28669,8600000US28669
2719,,,,28670,8600000US28670
597,,,,28671,8600000US28671
35,,,,28672,8600000US28672
5919,,,,28673,8600000US28673
6621,,,,28675,8600000US28675
3483,,,,28676,8600000US28676
32940,,,,28677,8600000US28677
5226,,,,28678,8600000US28678
2064,,,,28679,8600000US28679
25910,,,,28681,8600000US28681
1129,,,,28682,8600000US28682
1697,,,,28683,8600000US28683
2141,,,,28684,8600000US28684
2076,,,,28685,8600000US28685
1712,,,,28689,8600000US28689
9295,,,,28690,8600000US28690
4067,,,,28692,8600000US28692
1700,,,,28693,8600000US28693
7744,,,,28694,8600000US28694
12930,,,,28697,8600000US28697
2256,,,,28698,8600000US28698
3635,,,,28701,8600000US28701
366,,,,28702,8600000US28702
18821,,,,28704,8600000US28704
6715,,,,28705,8600000US28705
94,,,,28707,8600000US28707
754,,,,28708,8600000US28708
2225,,,,28709,8600000US28709
13209,,,,28711,8600000US28711
19347,,,,28712,8600000US28712
8686,,,,28713,8600000US28713
16753,,,,28714,8600000US28714
24582,,,,28715,8600000US28715
17477,,,,28716,8600000US28716
1729,,,,28717,8600000US28717
553,,,,28718,8600000US28718
8048,,,,28719,8600000US28719
114,,,,28720,8600000US28720
10063,,,,28721,8600000US28721
6371,,,,28722,8600000US28722
11329,,,,28723,8600000US28723
43,,,,28725,8600000US28725
3203,,,,28726,8600000US28726
2894,,,,28729,8600000US28729
9133,,,,28730,8600000US28730
7778,,,,28731,8600000US28731
16491,,,,28732,8600000US28732
21,,,,28733,8600000US28733
27040,,,,28734,8600000US28734
256,,,,28735,8600000US28735
787,,,,28736,8600000US28736
19786,,,,28739,8600000US28739
1364,,,,28740,8600000US28740
3197,,,,28741,8600000US28741
2710,,,,28742,8600000US28742
2125,,,,28743,8600000US28743
551,,,,28745,8600000US28745
2388,,,,28746,8600000US28746
2198,,,,28747,8600000US28747
11334,,,,28748,8600000US28748
50,,,,28749,8600000US28749
2916,,,,28751,8600000US28751
30600,,,,28752,8600000US28752
11670,,,,28753,8600000US28753
7679,,,,28754,8600000US28754
4504,,,,28756,8600000US28756
280,,,,28757,8600000US28757
6922,,,,28759,8600000US28759
7816,,,,28761,8600000US28761
6857,,,,28762,8600000US28762
2725,,,,28763,8600000US28763
1262,,,,28766,8600000US28766
6813,,,,28768,8600000US28768
8558,,,,28771,8600000US28771
1239,,,,28772,8600000US28772
3378,,,,28773,8600000US28773
1013,,,,28774,8600000US28774
296,,,,28775,8600000US28775
10638,,,,28777,8600000US28777
10381,,,,28778,8600000US28778
16111,,,,28779,8600000US28779
939,,,,28781,8600000US28781
6584,,,,28782,8600000US28782
1593,,,,28783,8600000US28783
7338,,,,28785,8600000US28785
20714,,,,28786,8600000US28786
19718,,,,28787,8600000US28787
5097,,,,28789,8600000US28789
3205,,,,28790,8600000US28790
14171,,,,28791,8600000US28791
32689,,,,28792,8600000US28792
15019,,,,28801,8600000US28801
28693,,,,28803,8600000US28803
20507,,,,28804,8600000US28804
17620,,,,28805,8600000US28805
38550,,,,28806,8600000US28806
5354,,,,28901,8600000US28901
1373,,,,28902,8600000US28902
8533,,,,28904,8600000US28904
3129,,,,28905,8600000US28905
18475,,,,28906,8600000US28906
1030,,,,28909,8600000US28909
2148,,,,29001,8600000US29001
6989,,,,29003,8600000US29003
9565,,,,29006,8600000US29006
2440,,,,29009,8600000US29009
13491,,,,29010,8600000US29010
1891,,,,29014,8600000US29014
1738,,,,29015,8600000US29015
16393,,,,29016,8600000US29016
3749,,,,29018,8600000US29018
22463,,,,29020,8600000US29020
1967,,,,29030,8600000US29030
1349,,,,29031,8600000US29031
4424,,,,29032,8600000US29032
11603,,,,29033,8600000US29033
19140,,,,29036,8600000US29036
824,,,,29037,8600000US29037
2445,,,,29038,8600000US29038
4215,,,,29039,8600000US29039
8767,,,,29040,8600000US29040
5868,,,,29042,8600000US29042
5652,,,,29044,8600000US29044
21871,,,,29045,8600000US29045
237,,,,29046,8600000US29046
3683,,,,29047,8600000US29047
4864,,,,29048,8600000US29048
951,,,,29051,8600000US29051
2021,,,,29052,8600000US29052
18830,,,,29053,8600000US29053
9612,,,,29054,8600000US29054
